index,bitstring,frequency,objective,is_feasible,assign_0,assign_1,assign_2,assign_3,capacity_0,capacity_1
261,101110010000,0.00071,28.0,False,False,False,True,False,True,True
262,101010100100,0.00071,25.0,False,False,False,False,False,True,True
263,001100110100,0.0007,26.0,False,False,False,False,False,True,True
264,100110110100,0.0007,29.0,False,False,False,True,False,True,True
265,100001011000,0.0007,15.0,False,True,True,False,True,True,True
266,101101100010,0.0007,25.0,False,True,True,False,True,True,True
267,110101001001,0.0007,17.0,False,True,False,False,True,True,True
268,000101111100,0.0007,22.0,False,False,True,True,False,True,True
269,010010101001,0.0007,21.0,False,True,True,True,False,True,True
270,010101110100,0.0007,29.0,False,False,False,True,False,True,True
271,111010101001,0.0007,32.0,False,False,True,False,False,True,True
272,111000010111,0.0007,26.0,True,True,True,True,True,True,True
273,010000000010,0.0007,7.0,False,False,True,False,False,True,True
274,111100000011,0.00069,21.0,False,True,True,True,True,False,True
275,000010111100,0.00069,22.0,False,True,False,True,True,True,True
276,010111101001,0.00069,27.0,False,True,False,True,True,True,True
277,001001101100,0.00069,18.0,False,False,True,False,False,True,True
278,100010000100,0.00069,10.0,False,False,False,False,False,True,True
279,101101001100,0.00069,17.0,True,True,True,True,True,True,True
280,010101001000,0.00069,13.0,False,False,False,False,True,True,True
281,111010010011,0.00069,32.0,False,False,True,True,True,True,True
282,001101100100,0.00069,21.0,False,False,True,False,True,True,True
283,010101000111,0.00069,13.0,False,False,False,False,True,True,True
284,101110110110,0.00069,36.0,False,False,False,False,False,True,True
285,011010001011,0.00068,20.0,False,True,True,True,False,True,True
286,011110100010,0.00068,31.0,False,True,True,False,True,True,True
287,000101100000,0.00068,14.0,False,False,True,True,True,True,True
288,000010010000,0.00068,14.0,False,True,False,False,True,True,True
289,010010011110,0.00068,21.0,False,True,True,False,True,True,True
290,010011101111,0.00068,24.0,False,True,False,True,False,True,True
291,011101101001,0.00068,28.0,False,False,False,False,True,True,True
292,111100100000,0.00068,29.0,False,True,True,False,True,False,True
293,011110100110,0.00068,31.0,False,True,True,False,True,True,True
294,111111100001,0.00068,38.0,False,False,False,False,True,False,True
295,101101110000,0.00068,33.0,False,True,True,False,False,True,True
296,011010011100,0.00068,28.0,True,True,True,True,True,True,True
297,101101000010,0.00067,17.0,True,True,True,True,True,True,True
298,000010100011,0.00067,14.0,False,True,False,True,False,True,True
299,000101001000,0.00067,6.0,False,False,True,False,True,True,True
300,001101100101,0.00067,21.0,False,False,True,False,True,True,True
301,000000101101,0.00067,8.0,False,False,False,True,False,True,True
302,101100101011,0.00067,22.0,False,True,False,False,True,True,True
303,110101001000,0.00067,17.0,False,True,False,False,True,True,True
304,111101000000,0.00067,24.0,False,True,False,True,True,False,True
305,001001111100,0.00067,26.0,False,False,True,False,True,True,True
306,001100101111,0.00067,18.0,False,False,False,False,True,True,True
307,110000011100,0.00067,19.0,False,True,True,False,True,True,True
308,101100101010,0.00067,22.0,False,True,False,False,True,True,True
309,100101111011,0.00067,26.0,False,True,True,True,False,True,True
310,000000110100,0.00067,16.0,False,False,False,True,True,True,True
311,010001110000,0.00066,26.0,False,False,False,True,True,True,True
312,011100010101,0.00066,25.0,False,False,True,True,False,True,True
313,111000100001,0.00066,26.0,False,True,True,False,False,True,True
314,110011011010,0.00066,28.0,False,False,False,False,True,True,True
315,111001100100,0.00066,29.0,False,True,False,False,False,True,True
316,011001110011,0.00066,33.0,False,False,False,False,True,True,True
317,010111010010,0.00066,27.0,False,True,False,False,False,True,True
318,011001011000,0.00066,25.0,False,False,False,True,True,True,True
319,110010001011,0.00066,17.0,False,False,True,False,False,True,True
320,100000010011,0.00066,12.0,False,True,False,False,True,True,True
321,010111100101,0.00066,27.0,False,True,False,True,True,True,True
322,000110110101,0.00066,25.0,False,True,False,True,False,True,True
323,100111100011,0.00066,24.0,False,False,True,True,True,True,True
324,100110111011,0.00066,29.0,False,False,False,True,False,True,True
325,000100000110,0.00065,3.0,False,False,False,False,True,True,True
326,101110111110,0.00065,36.0,False,False,False,False,False,True,True
327,100001100111,0.00065,15.0,False,True,True,True,False,True,True
328,000010010010,0.00065,14.0,False,True,False,False,True,True,True
329,100001000100,0.00065,7.0,False,True,True,False,False,True,True
330,100111110011,0.00065,32.0,False,False,True,True,False,True,False
331,010100010000,0.00065,18.0,False,False,True,False,False,True,True
332,011010001100,0.00065,20.0,False,True,True,True,False,True,True
333,001101011111,0.00065,21.0,False,False,True,True,False,True,True
334,110010111101,0.00065,33.0,False,False,True,True,True,True,True
335,011101011111,0.00065,28.0,False,False,False,True,False,True,True
336,010010111101,0.00065,29.0,True,True,True,True,True,True,True
337,011001110111,0.00065,33.0,False,False,False,False,True,True,True
338,101100000000,0.00065,14.0,False,True,False,True,True,True,True
339,100000100101,0.00065,12.0,False,True,False,True,False,True,True
340,100101100000,0.00065,18.0,True,True,True,True,True,True,True
341,101101110100,0.00065,33.0,False,True,True,False,False,True,True
342,010100111100,0.00065,26.0,False,False,True,True,False,True,True
343,011100111001,0.00064,33.0,False,False,True,False,False,True,True
344,110110110111,0.00064,36.0,False,False,True,True,False,True,True
345,001010101101,0.00064,21.0,False,True,False,False,False,True,True
346,111000101000,0.00064,26.0,False,True,True,False,False,True,True
347,011110111100,0.00064,39.0,False,True,True,False,False,True,True
348,000011100111,0.00064,17.0,False,True,True,True,False,True,True
349,111111110001,0.00064,46.0,False,False,False,False,False,False,False
350,011000101111,0.00064,22.0,False,False,True,False,False,True,True
351,100110110010,0.00064,29.0,False,False,False,True,False,True,True
352,111111101010,0.00064,38.0,False,False,False,False,True,False,True
353,111111111011,0.00063,46.0,False,False,False,False,False,False,False
354,010111100010,0.00063,27.0,False,True,False,True,True,True,True
355,110100010010,0.00063,22.0,False,True,True,False,False,True,True
356,101010100001,0.00063,25.0,False,False,False,False,False,True,True
357,101111000111,0.00063,23.0,False,False,True,True,True,True,True
358,000001101011,0.00063,11.0,False,False,True,True,False,True,True
359,111110010100,0.00063,35.0,False,False,True,True,False,False,True
360,101000011111,0.00063,19.0,False,True,False,True,True,True,True
361,011100010111,0.00063,25.0,False,False,True,True,False,True,True
362,101001111100,0.00062,30.0,False,True,True,False,True,True,True
363,000111111111,0.00062,28.0,False,True,True,True,False,True,False
364,000110100100,0.00062,17.0,False,True,False,True,True,True,True
365,110011100101,0.00062,28.0,False,False,False,True,False,True,True
366,010011010001,0.00062,24.0,False,True,False,False,True,True,True
367,011111111110,0.00062,42.0,False,True,False,False,False,True,False
368,111001100001,0.00062,29.0,False,True,False,False,False,True,True
369,010100111111,0.00062,26.0,False,False,True,True,False,True,True
370,100010111000,0.00062,26.0,False,False,False,True,True,True,True
371,010000101111,0.00062,15.0,False,False,True,True,False,True,True
372,101110110101,0.00061,36.0,False,False,False,False,False,True,True
373,101100101110,0.00061,22.0,False,True,False,False,True,True,True
374,100101000001,0.00061,10.0,False,True,True,False,True,True,True
375,001101010001,0.00061,21.0,False,False,True,True,False,True,True
376,100010010100,0.00061,18.0,False,False,False,False,True,True,True
377,000001100111,0.00061,11.0,False,False,True,True,False,True,True
378,100011111011,0.00061,29.0,False,False,True,True,True,True,False
379,000000100101,0.00061,8.0,False,False,False,True,False,True,True
380,010101010110,0.00061,21.0,False,False,False,False,False,True,True
381,010101001001,0.00061,13.0,False,False,False,False,True,True,True
382,010100011100,0.00061,18.0,False,False,True,False,False,True,True
383,100011001100,0.00061,13.0,False,False,True,False,False,True,True
384,101011101101,0.00061,28.0,False,False,True,False,False,True,True
385,010110111101,0.0006,32.0,False,True,True,True,False,True,True
386,100000001111,0.0006,4.0,False,True,False,False,False,True,True
387,100001110111,0.0006,23.0,True,True,True,True,True,True,True
388,000011100010,0.0006,17.0,False,True,True,True,False,True,True
389,000011000001,0.0006,9.0,False,True,True,False,False,True,True
390,110011010110,0.0006,28.0,False,False,False,False,True,True,True
391,111010111100,0.0006,40.0,False,False,True,False,True,True,True
